folio,material_id,material,familia,unidad,proveedor_id,proveedor,origen,distancia_km,pad_id,pad,operadora,mes,fecha_orden,fecha_plan,fecha_real,lead_plan_dias,lead_real_dias,retraso_dias,cant_plan,cant_real,costo_material_usd,costo_flete_usd,costo_demora_usd,estado
ENV-00001,MAT-02,Arena gruesa (40/70),Arena,t,PRV-04,Arenas Cuyanas,San Rafael (MZA),780,PAD-11,Aguada Federal,Wintershall,2024-10,2024-10-07,2024-10-17,2024-10-23,10,16,6,9000,8989.6,827043.0,985749.0,1530000,Demorado
ENV-00002,MAT-02,Arena gruesa (40/70),Arena,t,PRV-04,Arenas Cuyanas,San Rafael (MZA),780,PAD-07,El Trapial,Chevron,2024-10,2024-10-07,2024-10-15,2024-10-15,8,8,0,9000,8928.8,821450.0,952799.0,0,OTIF
ENV-00003,MAT-02,Arena gruesa (40/70),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-08,Aguada Pichana,Total,2024-10,2024-10-07,2024-10-14,2024-10-14,7,7,0,9000,8991.9,827255.0,586321.0,0,OTIF
ENV-00004,MAT-01,Arena fina (100 mesh),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-07,El Trapial,Chevron,2024-10,2024-10-07,2024-10-14,2024-10-14,7,7,0,9000,7993.2,599490.0,557385.0,0,Incompleto
ENV-00005,MAT-01,Arena fina (100 mesh),Arena,t,PRV-02,Silice Patagonia,Dolavon (CH),610,PAD-08,Aguada Pichana,Total,2024-10,2024-10-07,2024-10-14,2024-10-13,7,6,-1,8635.3,8701.1,652582.0,805508.0,0,OTIF
ENV-00006,MAT-01,Arena fina (100 mesh),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-11,Aguada Federal,Wintershall,2024-10,2024-10-16,2024-10-23,2024-10-23,7,7,0,9000,8926.8,669510.0,671697.0,0,OTIF
ENV-00007,MAT-01,Arena fina (100 mesh),Arena,t,PRV-04,Arenas Cuyanas,San Rafael (MZA),780,PAD-08,Aguada Pichana,Total,2024-10,2024-10-16,2024-10-26,2024-10-26,10,10,0,9000,9001.6,675120.0,985849.0,0,OTIF
ENV-00008,MAT-01,Arena fina (100 mesh),Arena,t,PRV-03,NQN Frac Sand,Anelo (NQN),95,PAD-08,Aguada Pichana,Total,2024-10,2024-10-16,2024-10-19,2024-10-19,3,3,0,9000,9001.5,675112.0,246211.0,0,OTIF
ENV-00009,MAT-02,Arena gruesa (40/70),Arena,t,PRV-04,Arenas Cuyanas,San Rafael (MZA),780,PAD-05,Rincon La Ceniza,Shell,2024-10,2024-10-16,2024-10-25,2024-10-25,9,9,0,9000,8960.9,824403.0,987174.0,0,OTIF
ENV-00010,MAT-02,Arena gruesa (40/70),Arena,t,PRV-02,Silice Patagonia,Dolavon (CH),610,PAD-11,Aguada Federal,Wintershall,2024-10,2024-10-16,2024-10-23,2024-10-23,7,7,0,9000,9047.3,832352.0,818052.0,0,OTIF
ENV-00011,MAT-01,Arena fina (100 mesh),Arena,t,PRV-04,Arenas Cuyanas,San Rafael (MZA),780,PAD-04,Fortin de Piedra,Tecpetrol,2024-10,2024-10-16,2024-10-26,2024-10-26,10,10,0,1596.8,1591.0,119325.0,182203.0,0,OTIF
ENV-00012,MAT-02,Arena gruesa (40/70),Arena,t,PRV-04,Arenas Cuyanas,San Rafael (MZA),780,PAD-07,El Trapial,Chevron,2024-10,2024-10-27,2024-11-06,2024-11-06,10,10,0,9000,9083.7,835700.0,961385.0,0,OTIF
ENV-00013,MAT-01,Arena fina (100 mesh),Arena,t,PRV-04,Arenas Cuyanas,San Rafael (MZA),780,PAD-06,Bajada del Palo,Vista,2024-10,2024-10-27,2024-11-05,2024-11-10,9,14,5,9000,8983.8,673785.0,1069712.0,1270750,Demorado
ENV-00014,MAT-02,Arena gruesa (40/70),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-08,Aguada Pichana,Total,2024-10,2024-10-27,2024-11-02,2024-11-02,6,6,0,9000,8969.1,825157.0,632509.0,0,OTIF
ENV-00015,MAT-02,Arena gruesa (40/70),Arena,t,PRV-02,Silice Patagonia,Dolavon (CH),610,PAD-06,Bajada del Palo,Vista,2024-10,2024-10-27,2024-11-05,2024-11-08,9,12,3,9000,9044.4,832085.0,827837.0,767550,Demorado
ENV-00016,MAT-01,Arena fina (100 mesh),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-11,Aguada Federal,Wintershall,2024-10,2024-10-27,2024-11-02,2024-11-02,6,6,0,9000,7696.3,577222.0,472484.0,0,Incompleto
ENV-00017,MAT-01,Arena fina (100 mesh),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-07,El Trapial,Chevron,2024-10,2024-10-27,2024-11-01,2024-11-01,5,5,0,232.4,230.9,17318.0,14354.0,0,OTIF
ENV-00018,MAT-01,Arena fina (100 mesh),Arena,t,PRV-04,Arenas Cuyanas,San Rafael (MZA),780,PAD-10,Cruz de Lorena,Shell,2024-11,2024-11-07,2024-11-16,2024-11-15,9,8,-1,9000,8955.7,671678.0,976948.0,0,OTIF
ENV-00019,MAT-02,Arena gruesa (40/70),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-08,Aguada Pichana,Total,2024-11,2024-11-07,2024-11-14,2024-11-13,7,6,-1,9000,9087.8,836078.0,590435.0,0,OTIF
ENV-00020,MAT-02,Arena gruesa (40/70),Arena,t,PRV-04,Arenas Cuyanas,San Rafael (MZA),780,PAD-12,Coiron Amargo,Pan American,2024-11,2024-11-07,2024-11-16,2024-11-16,9,9,0,9000,8997.0,827724.0,977224.0,0,OTIF
ENV-00021,MAT-02,Arena gruesa (40/70),Arena,t,PRV-02,Silice Patagonia,Dolavon (CH),610,PAD-10,Cruz de Lorena,Shell,2024-11,2024-11-07,2024-11-16,2024-11-16,9,9,0,9000,8959.4,824265.0,844294.0,0,OTIF
ENV-00022,MAT-01,Arena fina (100 mesh),Arena,t,PRV-03,NQN Frac Sand,Anelo (NQN),95,PAD-12,Coiron Amargo,Pan American,2024-11,2024-11-07,2024-11-11,2024-11-11,4,4,0,9000,9049.6,678720.0,215338.0,0,OTIF
ENV-00023,MAT-01,Arena fina (100 mesh),Arena,t,PRV-03,NQN Frac Sand,Anelo (NQN),95,PAD-04,Fortin de Piedra,Tecpetrol,2024-11,2024-11-07,2024-11-11,2024-11-11,4,4,0,2561.0,2570.3,192772.0,59919.0,0,OTIF
ENV-00024,MAT-01,Arena fina (100 mesh),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-11,Aguada Federal,Wintershall,2024-11,2024-11-19,2024-11-25,2024-11-24,6,5,-1,9000,8933.7,670028.0,661193.0,0,OTIF
ENV-00025,MAT-01,Arena fina (100 mesh),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-07,El Trapial,Chevron,2024-11,2024-11-19,2024-11-24,2024-11-24,5,5,0,9000,9005.6,675420.0,666862.0,0,OTIF
ENV-00026,MAT-02,Arena gruesa (40/70),Arena,t,PRV-03,NQN Frac Sand,Anelo (NQN),95,PAD-05,Rincon La Ceniza,Shell,2024-11,2024-11-19,2024-11-22,2024-11-22,3,3,0,9000,9083.3,835664.0,211626.0,0,OTIF
ENV-00027,MAT-02,Arena gruesa (40/70),Arena,t,PRV-04,Arenas Cuyanas,San Rafael (MZA),780,PAD-11,Aguada Federal,Wintershall,2024-11,2024-11-19,2024-11-29,2024-11-29,10,10,0,9000,8021.0,737932.0,914838.0,0,Incompleto
ENV-00028,MAT-02,Arena gruesa (40/70),Arena,t,PRV-03,NQN Frac Sand,Anelo (NQN),95,PAD-11,Aguada Federal,Wintershall,2024-11,2024-11-19,2024-11-23,2024-11-23,4,4,0,9000,9031.5,830898.0,226761.0,0,OTIF
ENV-00029,MAT-02,Arena gruesa (40/70),Arena,t,PRV-02,Silice Patagonia,Dolavon (CH),610,PAD-09,Los Toldos,ExxonMobil,2024-11,2024-11-19,2024-11-28,2024-11-27,9,8,-1,1880.9,1896.3,174460.0,168474.0,0,OTIF
ENV-00030,MAT-01,Arena fina (100 mesh),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-03,La Amarga Chica,YPF,2024-11,2024-11-30,2024-12-05,2024-12-05,5,5,0,9000,9069.7,680228.0,567174.0,0,OTIF
ENV-00031,MAT-02,Arena gruesa (40/70),Arena,t,PRV-02,Silice Patagonia,Dolavon (CH),610,PAD-11,Aguada Federal,Wintershall,2024-11,2024-11-30,2024-12-09,2024-12-09,9,9,0,9000,8927.8,821358.0,827502.0,0,OTIF
ENV-00032,MAT-01,Arena fina (100 mesh),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-05,Rincon La Ceniza,Shell,2024-11,2024-11-30,2024-12-07,2024-12-07,7,7,0,9000,9064.0,679800.0,562015.0,0,OTIF
ENV-00033,MAT-02,Arena gruesa (40/70),Arena,t,PRV-03,NQN Frac Sand,Anelo (NQN),95,PAD-09,Los Toldos,ExxonMobil,2024-11,2024-11-30,2024-12-02,2024-12-02,2,2,0,9000,9062.6,833759.0,226692.0,0,OTIF
ENV-00034,MAT-01,Arena fina (100 mesh),Arena,t,PRV-03,NQN Frac Sand,Anelo (NQN),95,PAD-11,Aguada Federal,Wintershall,2024-11,2024-11-30,2024-12-02,2024-12-02,2,2,0,8148.2,8158.7,611902.0,186789.0,0,OTIF
ENV-00035,MAT-01,Arena fina (100 mesh),Arena,t,PRV-03,NQN Frac Sand,Anelo (NQN),95,PAD-04,Fortin de Piedra,Tecpetrol,2024-12,2024-12-12,2024-12-14,2024-12-13,2,1,-1,9000,8910.5,668288.0,242710.0,0,OTIF
ENV-00036,MAT-02,Arena gruesa (40/70),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-03,La Amarga Chica,YPF,2024-12,2024-12-12,2024-12-17,2024-12-17,5,5,0,9000,8974.5,825654.0,647967.0,0,OTIF
ENV-00037,MAT-01,Arena fina (100 mesh),Arena,t,PRV-02,Silice Patagonia,Dolavon (CH),610,PAD-01,Loma Campana,YPF,2024-12,2024-12-12,2024-12-20,2024-12-23,8,11,3,9000,8995.7,674678.0,886237.0,765000,Demorado
ENV-00038,MAT-02,Arena gruesa (40/70),Arena,t,PRV-02,Silice Patagonia,Dolavon (CH),610,PAD-02,Bandurria Sur,YPF,2024-12,2024-12-12,2024-12-21,2024-12-21,9,9,0,9000,9073.6,834771.0,871805.0,0,OTIF
ENV-00039,MAT-01,Arena fina (100 mesh),Arena,t,PRV-01,Arenera del Sur,Chelforo (RN),420,PAD-11,Aguada Federal,Wintershall,2024-12,2024-12-12,2024-12-17,2024-12-17,5,5,0,9000,8929.4,669705.0,634867.0,0,OTIF
